name,place,population,muni_name,lat,lon
Prato,hamlet,,Monte Santa Maria Tiberina,43.4228556,12.1591917
Prato,hamlet,34.0,Monte Santa Maria Tiberina,43.4425152,12.1174391
Ranzola,hamlet,34.0,Monte Santa Maria Tiberina,43.4551734,12.1074162
Roceto,locality,,Monte Santa Maria Tiberina,43.4194339,12.0519138
Roncaglia,isolated_dwelling,,Monte Santa Maria Tiberina,43.443573,12.1325994
San Bartolomeo,hamlet,,Monte Santa Maria Tiberina,43.4142134,12.0909257
Santa Maria,locality,,Monte Santa Maria Tiberina,43.4325921,12.0845851
Satriano,isolated_dwelling,,Monte Santa Maria Tiberina,43.4652836,12.1343146
Signorotto,hamlet,,Monte Santa Maria Tiberina,43.4042473,12.208684
Torre dell'Elci,locality,,Monte Santa Maria Tiberina,43.4360304,12.0616814
Torre di Marzana,locality,,Monte Santa Maria Tiberina,43.4069415,12.0632967
Torrino,isolated_dwelling,,Monte Santa Maria Tiberina,43.4618035,12.1265456
Trevine,hamlet,26.0,Monte Santa Maria Tiberina,43.4071275,12.1767429
Verciano,locality,,Monte Santa Maria Tiberina,43.4137079,12.1958884
Vocabolo Munti,locality,,Monte Santa Maria Tiberina,43.4150408,12.1987999
Vocabolo Roteto,locality,,Monte Santa Maria Tiberina,43.3881073,12.2012286
Casanova,hamlet,62.0,Montecastrilli,42.6429997,12.5345153
Castel dell'Aquila,village,479.0,Montecastrilli,42.6351983,12.4053146
Casteltodino,village,1023.0,Montecastrilli,42.661473,12.509254
Collesecco,hamlet,84.0,Montecastrilli,42.6816128,12.4774765
Farnetta,hamlet,226.0,Montecastrilli,42.6484113,12.4516225
Masteria,hamlet,28.0,Montecastrilli,42.6411493,12.5364007
Montecastrilli,village,1223.0,Montecastrilli,42.652434,12.488567
Ponte,hamlet,78.0,Montecastrilli,42.6387001,12.4045719
Quadrelli,village,417.0,Montecastrilli,42.6482681,12.520934
San Martino,hamlet,29.0,Montecastrilli,42.6395658,12.4795192
Santa Maria in Canale,hamlet,12.0,Montecastrilli,42.6167313,12.4295783
Fratta,hamlet,11.0,Montecchio,42.6502128,12.2917624
Le Case,hamlet,12.0,Montecchio,42.643257,12.2752859
Melezzole,hamlet,159.0,Montecchio,42.6680246,12.337964
Monastero,hamlet,7.0,Montecchio,42.6513089,12.3015361
Montecchio,village,671.0,Montecchio,42.663533,12.286862
Pantanelli,hamlet,9.0,Montecchio,42.6719632,12.3547494
Pozzo Ciolino,hamlet,108.0,Montecchio,42.6467245,12.275987
Pranzuto,hamlet,21.0,Montecchio,42.6536017,12.2914352
Prato Giardino,hamlet,9.0,Montecchio,42.6479597,12.2781904
San Martino,hamlet,35.0,Montecchio,42.6605609,12.2823554
San Rocco,hamlet,54.0,Montecchio,42.6496103,12.2877579
Stiacciarelle,hamlet,19.0,Montecchio,42.643774,12.2775153
Tenaglie,hamlet,77.0,Montecchio,42.6495601,12.2830633
Argentella,hamlet,33.0,Montefalco,42.8494547,12.6777737
Belvedere,hamlet,32.0,Montefalco,42.9132258,12.6376219
Borghetto,hamlet,17.0,Montefalco,42.8519544,12.680677
Camiano Grande,hamlet,87.0,Montefalco,42.8937794,12.6621314
Camiano Piccolo,hamlet,32.0,Montefalco,42.8917586,12.6587553
Casale,hamlet,148.0,Montefalco,42.8821306,12.6178943
Case Santa Lucia,isolated_dwelling,,Montefalco,42.8789947,12.6884629
Cerrete,hamlet,125.0,Montefalco,42.8808474,12.63937
Colle Arfuso,hamlet,8.0,Montefalco,42.8778409,12.6549795
Colle San Clemente,hamlet,85.0,Montefalco,42.9017072,12.6540815
Cortignano,hamlet,52.0,Montefalco,42.8600303,12.6428187
Fabbri,hamlet,134.0,Montefalco,42.8732084,12.685412
Fratta,hamlet,144.0,Montefalco,42.8453262,12.687205
Gallo,hamlet,,Montefalco,42.8743054,12.6616405
Il Piano,hamlet,21.0,Montefalco,42.8422369,12.6764265
Lasignano,hamlet,35.0,Montefalco,42.8801335,12.6494488
Madonna della Stella,hamlet,,Montefalco,42.8558856,12.6838929
Mercatello,neighbourhood,11.0,Montefalco,42.8357752,12.6795342
Montefalco,village,1258.0,Montefalco,42.8918739,12.6500673
Montepennino,hamlet,492.0,Montefalco,42.9075374,12.6435173
Pietrauta,hamlet,170.0,Montefalco,42.8941257,12.6292167
Poggetto,hamlet,17.0,Montefalco,42.8816226,12.6665065
Rignano,hamlet,16.0,Montefalco,42.8851359,12.6365657
San Fortunato,neighbourhood,,Montefalco,42.8851054,12.6570013
San Luca,hamlet,136.0,Montefalco,42.8620976,12.6890169
Turri,hamlet,101.0,Montefalco,42.8873799,12.6659106
Turrita,hamlet,346.0,Montefalco,42.8693601,12.6582213
Valle Cupa,hamlet,27.0,Montefalco,42.917641,12.6420418
Vecciano,hamlet,11.0,Montefalco,42.8961723,12.6572459
Verdeggia,isolated_dwelling,,Montefalco,42.8742726,12.6905568
Vigliano,hamlet,14.0,Montefalco,42.8698741,12.6829879
Capitignano,hamlet,13.0,Montefranco,42.5954227,12.770401
Casa Cantoniera,hamlet,37.0,Montefranco,42.6064972,12.7510988
Fontechiaruccia,village,483.0,Montefranco,42.5885492,12.7632758
I Monti,hamlet,32.0,Montefranco,42.6027524,12.7414047
Montefranco,village,467.0,Montefranco,42.5977353,12.7652595
Varcone,hamlet,8.0,Montefranco,42.597311,12.7392755
C. Nardi,isolated_dwelling,,Montegabbione,42.9327546,12.0945579
Castel di Fiori,hamlet,16.0,Montegabbione,42.9063616,12.1086104
Faiolo,hamlet,206.0,Montegabbione,42.8967399,12.0778617
La Piaggia,hamlet,,Montegabbione,42.9371234,12.1479303
La Scarzuola,locality,,Montegabbione,42.898444,12.1536691
Montegabbione,village,579.0,Montegabbione,42.9210065,12.0923641
Montegiove,hamlet,67.0,Montegabbione,42.9156191,12.1444745
Forca di Rescia,locality,,Monteleone di Spoleto,42.6202566,13.01455
Il Colle,hamlet,27.0,Monteleone di Spoleto,42.6426787,12.9604614
Monteleone di Spoleto,village,245.0,Monteleone di Spoleto,42.6510059,12.9515599
Rescia,hamlet,13.0,Monteleone di Spoleto,42.6270761,12.9906842
Ruscio,hamlet,102.0,Monteleone di Spoleto,42.6446298,12.9574934
Trivio,hamlet,73.0,Monteleone di Spoleto,42.6524196,12.979131
Colle Alto,hamlet,,Monteleone d'Orvieto,42.8973076,12.0442468
Colle Basso,hamlet,,Monteleone d'Orvieto,42.8995907,12.0437801
Monteleone d'Orvieto,village,516.0,Monteleone d'Orvieto,42.9184935,12.0511448
San Lorenzo,hamlet,119.0,Monteleone d'Orvieto,42.9067469,12.0594942
Santa Maria,village,507.0,Monteleone d'Orvieto,42.8940718,12.0366092
Volpara,isolated_dwelling,3.0,Monteleone d'Orvieto,42.881575,12.045129
Borgo di Faldo,locality,,Montone,43.3187885,12.3052297
Carpini,hamlet,34.0,Montone,43.3841347,12.3853345
Casanova,isolated_dwelling,,Montone,43.4158844,12.3805836
Coloti,isolated_dwelling,,Montone,43.4015378,12.3760762
Corlo I,isolated_dwelling,3.0,Montone,43.3486412,12.3291817
Faldo di sopra,hamlet,,Montone,43.3369773,12.3168368
Il Poggio,isolated_dwelling,,Montone,43.3867205,12.3846527
Le Casacce,isolated_dwelling,,Montone,43.3887308,12.3951445
Montone,village,589.0,Montone,43.3623727,12.3264425
Piano I e II,hamlet,33.0,Montone,43.3444498,12.3279825
Santa Maria Di Sette,hamlet,207.0,Montone,43.3340104,12.3241686
Valmaggiore,locality,,Montone,43.3886363,12.3414862
Villanova,isolated_dwelling,,Montone,43.3937279,12.3760003
Accesso sentiero Acquedotto Romano Formina,locality,,Narni,42.5087438,12.5420345
Altrocanto,hamlet,49.0,Narni,42.4841732,12.5734961
Borgaria,hamlet,53.0,Narni,42.4829954,12.5042519
Calledro,hamlet,11.0,Narni,42.4656999,12.4345642
Capitone,village,444.0,Narni,42.5739222,12.475117
Castelchiaro,hamlet,185.0,Narni,42.5394956,12.58071
Castello,hamlet,24.0,Narni,42.4877795,12.4782231
Castelvecchio,hamlet,27.0,Narni,42.4797142,12.587827
Cipiccia Vecchia,hamlet,29.0,Narni,42.5012246,12.5790793
Colle di Sopra,hamlet,29.0,Narni,42.5587608,12.5001246
Colle Palazzo,hamlet,17.0,Narni,42.4857312,12.5973691
Colle Secco,hamlet,24.0,Narni,42.4885283,12.5998451
Colleabramo,hamlet,,Narni,42.4595162,12.5036955
Convento Lo Speco,isolated_dwelling,0.0,Narni,42.4565723,12.5965353
Erbabigia,hamlet,28.0,Narni,42.5112089,12.5655654
Fabbrucciano,hamlet,39.0,Narni,42.5535338,12.5269025
Fiaiola,hamlet,6.0,Narni,42.5140056,12.6077753
Fongalle,hamlet,,Narni,42.463975,12.5244621
Gobbi,hamlet,14.0,Narni,42.4856165,12.5886878
Guadamello,hamlet,158.0,Narni,42.4507567,12.4418976
Gualdo,hamlet,160.0,Narni,42.4546925,12.4712511
Il Molino,hamlet,6.0,Narni,42.4929417,12.4893789
Itieli,hamlet,83.0,Narni,42.4793328,12.5690208
La Cerquetta,hamlet,25.0,Narni,42.5405321,12.5878657
La Scogliara,hamlet,103.0,Narni,42.507071,12.5197596
Madonna delle Treie,hamlet,53.0,Narni,42.4880309,12.4838636
Madonna Scoperta,hamlet,29.0,Narni,42.4835228,12.5251412
Mallione,hamlet,39.0,Narni,42.4495934,12.4772818
Maratta,hamlet,68.0,Narni,42.5461329,12.5362217
Massa,hamlet,18.0,Narni,42.4894717,12.4893336
Massa Bassa,hamlet,13.0,Narni,42.4879283,12.4867284
Miriano,hamlet,24.0,Narni,42.5120996,12.5458206
Montini,hamlet,8.0,Narni,42.4426709,12.5224326
Montoro,hamlet,224.0,Narni,42.5064132,12.4665187
Moricone,hamlet,140.0,Narni,42.4576941,12.5254297
Narni Scalo,village,4672.0,Narni,42.5358011,12.5196282
Nera Montoro,village,321.0,Narni,42.499554,12.4731257
Pollacci,hamlet,30.0,Narni,42.4844072,12.4953694
Ponte San Lorenzo,village,697.0,Narni,42.5355036,12.5792584
Recentino,hamlet,38.0,Narni,42.5041745,12.512046
San Faustino,hamlet,80.0,Narni,42.5118097,12.57627
San Liberato,village,472.0,Narni,42.4802026,12.4399188
San Mauro,hamlet,31.0,Narni,42.5616267,12.4866636
San Pellegrino,hamlet,21.0,Narni,42.5390547,12.4881621
San Vito,hamlet,86.0,Narni,42.4378592,12.4415436
Santa Lucia,hamlet,,Narni,42.5139179,12.5329605
Sant'Urbano,hamlet,42.0,Narni,42.4652599,12.5860366
Schifanoia,hamlet,110.0,Narni,42.4589731,12.5152818
Stifone,hamlet,32.0,Narni,42.4965566,12.4949428
Taizzano,village,392.0,Narni,42.4940231,12.4990774
Testaccio,village,510.0,Narni,42.4976226,12.5215756
Vigne,village,268.0,Narni,42.4660557,12.5031739
Visciano,hamlet,48.0,Narni,42.4775399,12.4916879
Zona Industriale Colle Stoppione Fornace,hamlet,,Narni,42.5697841,12.567644
Zona Industriale Flaminia Ternana,hamlet,42.0,Narni,42.5315862,12.5605174
Zona Industriale Maratta,hamlet,28.0,Narni,42.5568278,12.5535851
Zona Industriale Sant'Anna,hamlet,,Narni,42.5290454,12.528258
Zona Industriale Tiberina Narni Scalo,hamlet,10.0,Narni,42.556996,12.5324474
Zona Sabbione-Narni,hamlet,,Narni,42.5549537,12.5796255
Acciano-Fossaccio,hamlet,35.0,Nocera Umbra,43.0924796,12.8207401
Africa,hamlet,5.0,Nocera Umbra,43.1102923,12.7753249
Aggi,hamlet,21.0,Nocera Umbra,43.1083077,12.8359466
Bagnara,hamlet,184.0,Nocera Umbra,43.1116203,12.8533497
Bagnara-Zona Industriale,hamlet,2.0,Nocera Umbra,43.11143,12.8456053
Bagni Stravignano,hamlet,72.0,Nocera Umbra,43.0884418,12.8126845
Bandita Cilleni,isolated_dwelling,,Nocera Umbra,43.1201281,12.7247762
Boschetto,hamlet,95.0,Nocera Umbra,43.1805941,12.8011173
Campodarco,hamlet,30.0,Nocera Umbra,43.1315395,12.7900922
Carticina,hamlet,,Nocera Umbra,43.1694183,12.777303
Casa Melindio,isolated_dwelling,,Nocera Umbra,43.1147358,12.7611504
Casaluna,hamlet,15.0,Nocera Umbra,43.1668551,12.8489526
Case Basse,hamlet,116.0,Nocera Umbra,43.1027852,12.804364
Castiglioni,hamlet,22.0,Nocera Umbra,43.08674,12.8411253
Castrucciano alto,locality,,Nocera Umbra,43.1190851,12.7431371
Cellerano,hamlet,20.0,Nocera Umbra,43.1936277,12.8559059
Ceresole,hamlet,7.0,Nocera Umbra,43.0750171,12.8168218
Cerreto,locality,,Nocera Umbra,43.1702565,12.8445335
Cervaia,locality,,Nocera Umbra,43.1715861,12.801559
Collecroce,hamlet,53.0,Nocera Umbra,43.0750572,12.8551339
Colsantangelo,hamlet,50.0,Nocera Umbra,43.1748826,12.7931034
Costa,hamlet,27.0,Nocera Umbra,43.1578338,12.8009056
Costa di Picchio,locality,,Nocera Umbra,43.1270711,12.8086128
Costa Strigli,locality,,Nocera Umbra,43.1709566,12.8300324
Costallato,locality,,Nocera Umbra,43.1864659,12.8294449
Fossa del Lupo,locality,,Nocera Umbra,43.1774367,12.8223616
Gaifana-Colle,village,453.0,Nocera Umbra,43.1683153,12.793665
Grillo,hamlet,84.0,Nocera Umbra,43.1045403,12.80857
Isola,hamlet,89.0,Nocera Umbra,43.1507163,12.7756436
La Romita,locality,,Nocera Umbra,43.1001439,12.812514
Laicelle,locality,,Nocera Umbra,43.19324,12.8309899
Lanciano,hamlet,51.0,Nocera Umbra,43.1504582,12.7355909
Le Case,neighbourhood,25.0,Nocera Umbra,43.1073475,12.7860066
Le Fontanelle,locality,,Nocera Umbra,43.1349309,12.8221605
Le Prata,hamlet,44.0,Nocera Umbra,43.0689404,12.8188247
le Pratarelle,locality,,Nocera Umbra,43.1567708,12.8360724
Le Saliere,locality,,Nocera Umbra,43.1345941,12.8292599
Località Produttiva Nocera Scalo,hamlet,13.0,Nocera Umbra,43.1050275,12.7639209
Maccantone,hamlet,3.0,Nocera Umbra,43.1705923,12.7538791
Mascionchie,hamlet,29.0,Nocera Umbra,43.0921452,12.7783825
Molina,hamlet,57.0,Nocera Umbra,43.1587719,12.7771071
Molinaccio,hamlet,19.0,Nocera Umbra,43.204905,12.8637277
Montecchio,hamlet,,Nocera Umbra,43.1647172,12.7424757
Mosciano,hamlet,,Nocera Umbra,43.0704394,12.8358674
Mugnano,neighbourhood,115.0,Nocera Umbra,43.1082836,12.7932078
Nocera Scalo,hamlet,258.0,Nocera Umbra,43.0974396,12.767604
Nocera Umbra,village,1764.0,Nocera Umbra,43.1136188,12.7886085
Palazzo,neighbourhood,13.0,Nocera Umbra,43.1095488,12.7998404
Pascigliano,hamlet,,Nocera Umbra,43.1568194,12.7854777
Pertana,hamlet,32.0,Nocera Umbra,43.150918,12.7487324
Piaggia del Trivio,locality,,Nocera Umbra,43.1832585,12.8208833
Pian delle Stelle,locality,,Nocera Umbra,43.1354854,12.8308173
Pian di Faeto,locality,,Nocera Umbra,43.1996332,12.8313902
Poggio,hamlet,,Nocera Umbra,43.14915,12.8043895
Ponte Parrano,hamlet,69.0,Nocera Umbra,43.1353259,12.775805
Salmata,hamlet,59.0,Nocera Umbra,43.1494396,12.7936851
San Biagio,locality,,Nocera Umbra,43.1549897,12.7284554
Scannelli,locality,,Nocera Umbra,43.1737023,12.8229328
Schiagni,hamlet,37.0,Nocera Umbra,43.1186833,12.8171083
Selva Costantini,locality,,Nocera Umbra,43.1459888,12.7875221
Serre Mosciano,hamlet,16.0,Nocera Umbra,43.0771622,12.8341717
Serre Parrano,hamlet,22.0,Nocera Umbra,43.1437217,12.7662547
Sorifa,hamlet,105.0,Nocera Umbra,43.0793432,12.8213928
Sorifa-Zona Industriale,neighbourhood,,Nocera Umbra,43.0747455,12.8226894
Torre,hamlet,,Nocera Umbra,43.2099085,12.8531279
Trombone,hamlet,11.0,Nocera Umbra,43.1705148,12.8514953
Valle Feggio,locality,,Nocera Umbra,43.1400307,12.8104407
Valle la Mandria,locality,,Nocera Umbra,43.1508067,12.8147649
Vallolmo,locality,,Nocera Umbra,43.1748817,12.8601001
Villa Postignano,hamlet,102.0,Nocera Umbra,43.1054333,12.7528632
Ville Santa Lucia,hamlet,11.0,Nocera Umbra,43.1891721,12.8539405
Vittiano,hamlet,31.0,Nocera Umbra,43.0918176,12.7593795
Vocabolo Acciano,hamlet,,Nocera Umbra,43.1020712,12.8146527
Agriano,hamlet,56.0,Norcia,42.7640402,13.0294034
Aliena,hamlet,9.0,Norcia,42.7601801,13.0396131
Ancarano,locality,,Norcia,42.8415115,13.1036298
Campi,hamlet,151.0,Norcia,42.8527959,13.0972496
Campi Vecchio,hamlet,172.0,Norcia,42.8536687,13.1005599
Capo del Colle,hamlet,46.0,Norcia,42.8447121,13.1075226
Casa Coletti,isolated_dwelling,,Norcia,42.7893505,13.1088106
Casa Cupa,isolated_dwelling,,Norcia,42.805676,13.1036203
Casale Carucci,isolated_dwelling,,Norcia,42.8029265,13.1009173
Casale Di Stefano,isolated_dwelling,,Norcia,42.8125607,13.1107878
Casale Moretti,locality,,Norcia,42.8607169,13.1161947
Casaletto Cameresi,hamlet,,Norcia,42.7960636,13.1026963
Casali di Serravalle,hamlet,29.0,Norcia,42.7922084,13.0625389
Casciolino,isolated_dwelling,,Norcia,42.7745502,13.1377417
Case Bucchi,isolated_dwelling,,Norcia,42.8068937,13.1135344
Case Caciolini,isolated_dwelling,,Norcia,42.8043512,13.1092644
Castagna,locality,,Norcia,42.7632521,13.1454463
Castelluccio,hamlet,101.0,Norcia,42.8287758,13.2076515
Colle Fegato,isolated_dwelling,,Norcia,42.7873993,13.1112281
Cortigno,hamlet,12.0,Norcia,42.8093675,12.9769359
Costa Iovine,locality,,Norcia,42.7745305,13.1544465
Coste Forconi,locality,,Norcia,42.8130486,13.1687772
Croce Zilioli,locality,,Norcia,42.8073994,13.2632258
Dogana,locality,,Norcia,42.7768882,13.2265819
Eremo di Sant’Egidio,locality,,Norcia,42.8061024,12.9896046
Fontevena,hamlet,28.0,Norcia,42.800786,13.1056786
Forca Piana,locality,,Norcia,42.7710338,13.1477919
Forsivo,hamlet,20.0,Norcia,42.7993203,13.0142662
Frascaro,hamlet,50.0,Norcia,42.7475886,13.1433931
Grotti,hamlet,34.0,Norcia,42.782905,13.1187284
I Mergani,locality,,Norcia,42.7798726,13.1951231
I Ravetti,locality,,Norcia,42.7788283,13.1561429
Il Vallone,locality,,Norcia,42.7925232,13.2541316
La Caprareccia,locality,,Norcia,42.7911984,12.9808177
La Penna,locality,,Norcia,42.7845367,12.979376
Le Cese,locality,,Norcia,42.7887191,13.1495845
Le Pianacce,locality,,Norcia,42.8492306,13.2299304
Le Scentinelle,locality,,Norcia,42.7676406,13.1992553
Legogne,hamlet,18.0,Norcia,42.8008982,13.0270379
Madonnabella,isolated_dwelling,,Norcia,42.7856867,13.111448
Nottoria,hamlet,28.0,Norcia,42.7288613,13.1558416
Ocricchio,hamlet,6.0,Norcia,42.7419444,13.0960146
Ospedaletto,hamlet,39.0,Norcia,42.776967,13.0596464
Paganelli,hamlet,18.0,Norcia,42.7328998,13.1270344
Passo di Sasso Borghese,locality,,Norcia,42.8673745,13.235445
Pescia,hamlet,15.0,Norcia,42.6851103,13.1570051
Pian Piccolo,locality,,Norcia,42.7954724,13.2316784
Piano Grande,locality,,Norcia,42.8132469,13.2093
Pie' del Colle,hamlet,20.0,Norcia,42.843921,13.1024729
Pie' la Rocca,hamlet,10.0,Norcia,42.8337289,13.1137486
Piediripa,hamlet,59.0,Norcia,42.7414787,13.1098046
Popoli,hamlet,47.0,Norcia,42.751906,13.1041478
Rocchetta delle Nocelle,locality,,Norcia,42.8354763,12.961955
San Biagio,locality,,Norcia,42.8587273,13.0967653
San Marco,hamlet,19.0,Norcia,42.716847,13.1360231
San Pellegrino,hamlet,141.0,Norcia,42.7576323,13.1492171
Sant'Andrea,hamlet,27.0,Norcia,42.7155898,13.1237459
Sant'Angelo,hamlet,40.0,Norcia,42.839033,13.1036294
Sassi Cattivi,locality,,Norcia,42.7821405,13.1519542
Savelli,hamlet,123.0,Norcia,42.7264537,13.1266875
Serravalle,hamlet,28.0,Norcia,42.7859059,13.0219044
Val Majore,locality,,Norcia,42.8658705,13.1236375
Valcaldara,hamlet,33.0,Norcia,42.7406003,13.1277569
Valle Canatra,locality,,Norcia,42.833206,13.1844298
Valle Cerasa,locality,,Norcia,42.8297789,13.1274283
Valle Patino,locality,,Norcia,42.8147801,13.1423306
Villa di Serravalle,hamlet,28.0,Norcia,42.7904368,13.0526973
Villaggio agroalimentare,isolated_dwelling,,Norcia,42.8287999,13.2141593
Bagni,hamlet,37.0,Orvieto,42.7845076,12.111374
Bardano,hamlet,6.0,Orvieto,42.7458177,12.0616049
Baschi Scalo,hamlet,10.0,Orvieto,42.6917246,12.2000229
Benano,hamlet,19.0,Orvieto,42.7349483,12.0066933
Bivio Canale,hamlet,89.0,Orvieto,42.7137404,12.1209014
Bivio Corsica,hamlet,41.0,Orvieto,42.6791279,12.0674336
Botto,hamlet,6.0,Orvieto,42.6895335,12.1605184
Bracci,locality,,Orvieto,42.7531645,12.2891147
Buonviaggio,hamlet,,Orvieto,42.7036418,12.0808616
Caccavelle,hamlet,,Orvieto,42.6680475,12.0472171
Campo della Fiera,locality,,Orvieto,42.7123549,12.0961064
Canale Nuovo,village,564.0,Orvieto,42.687523,12.1329683
Canale Vecchio,hamlet,61.0,Orvieto,42.6898702,12.1273393
Canino,hamlet,12.0,Orvieto,42.7104645,12.1949686
Canonica,hamlet,54.0,Orvieto,42.6999978,12.0488236
Capretta,hamlet,10.0,Orvieto,42.7485367,12.1759138
Case Maggi,hamlet,14.0,Orvieto,42.7121883,12.1127618
Case Negroni,hamlet,26.0,Orvieto,42.7692097,12.1714009
Castello,locality,,Orvieto,42.7444343,12.3015902
Ciconia,village,4349.0,Orvieto,42.7309538,12.1349811
Cipressi,locality,,Orvieto,42.7420604,12.2788966
Colonnetta di Prodo,village,220.0,Orvieto,42.7546926,12.196465
Corbara,hamlet,70.0,Orvieto,42.7044088,12.2270853
Corsica,hamlet,30.0,Orvieto,42.6749281,12.0608461
Fontanelle di Bardano,hamlet,194.0,Orvieto,42.7420774,12.0799562
Fossatello,hamlet,32.0,Orvieto,42.734261,12.2097708
Gabelletta,neighbourhood,406.0,Orvieto,42.7151813,12.0968664
La Svolta,village,,Orvieto,42.7380463,12.1235778
Morrano Nuovo,hamlet,194.0,Orvieto,42.7703374,12.1325935
Morrano Vecchio,hamlet,34.0,Orvieto,42.7780629,12.1409742
Orvieto Scalo,village,2186.0,Orvieto,42.7216119,12.1322079
Osa,hamlet,3.0,Orvieto,42.7353263,12.2404931
Osarella,hamlet,83.0,Orvieto,42.7347926,12.1734428
Osteria di Biagio,hamlet,36.0,Orvieto,42.6683364,12.0350596
Padella,hamlet,28.0,Orvieto,42.7568826,12.1609956
Pian del Vantaggio,hamlet,75.0,Orvieto,42.7562495,12.116395
Pianicelli,locality,,Orvieto,42.7527913,12.2858586
Ponte di Ferro,hamlet,45.0,Orvieto,42.7574803,12.1254751
Prato,isolated_dwelling,1.0,Orvieto,42.7626338,12.2212908
Prodo,hamlet,29.0,Orvieto,42.7637921,12.2347995
Rocca Ripesena,hamlet,62.0,Orvieto,42.7223695,12.067682
Roccaccia,locality,,Orvieto,42.7382744,12.3049175
San Bartolomeo,hamlet,8.0,Orvieto,42.7789997,12.1673316
San Faustino,hamlet,4.0,Orvieto,42.8026706,12.1661299
San Giorgio,hamlet,9.0,Orvieto,42.7439681,12.1517773
Sferracavallo,village,1919.0,Orvieto,42.7260293,12.0956196
Stazione di Castiglione,hamlet,5.0,Orvieto,42.6489554,12.2333847
Sugano,village,290.0,Orvieto,42.710262,12.0564835
Tamburino,hamlet,71.0,Orvieto,42.7101593,12.0848008
Titignano,hamlet,1.0,Orvieto,42.7569076,12.2874824
Tordimonte,hamlet,3.0,Orvieto,42.695968,12.1755391
Torre San Severo,hamlet,104.0,Orvieto,42.6715457,12.0625751
Trinità,hamlet,7.0,Orvieto,42.7103609,12.0769342
Villa Felici,hamlet,7.0,Orvieto,42.7081023,12.1347863
Villanova,hamlet,118.0,Orvieto,42.6960997,12.0660157
Castellaccio,hamlet,89.0,Otricoli,42.4047507,12.4640877
Castello delle Formiche,hamlet,45.0,Otricoli,42.4023972,12.4610084
Otricoli,village,884.0,Otricoli,42.4230234,12.4776861
Poggio,village,401.0,Otricoli,42.4402791,12.5507253
Santo Janni,hamlet,21.0,Otricoli,42.4386118,12.5288044
Villa Santa Maria,neighbourhood,,Otricoli,42.4398297,12.5444698
Borgarucci,hamlet,19.0,Paciano,43.0296719,12.073341
Caselle,hamlet,19.0,Paciano,43.0267655,12.0699176
Collevarche,neighbourhood,,Paciano,43.0306158,12.0708836
Le Case,hamlet,49.0,Paciano,43.0429961,12.0606057
Mazzarelli,hamlet,70.0,Paciano,43.0466656,12.0644252
Paciano,village,523.0,Paciano,43.0224336,12.0705233
Peschiera,hamlet,61.0,Paciano,43.0329306,12.0706876
Pietreto,hamlet,,Paciano,43.0206382,12.0503735
Poderaccio Basso,hamlet,9.0,Paciano,43.0252672,12.0261431
Strigaia,hamlet,15.0,Paciano,43.0256196,12.0379739
Varacca,hamlet,,Paciano,43.0201259,12.054407
Casa Paolinami,hamlet,37.0,Panicale,43.0168997,12.1404499
Casalini,hamlet,165.0,Panicale,43.0635185,12.1417357
Cerreto,hamlet,12.0,Panicale,43.0494108,12.1454725
Colgiordano,hamlet,136.0,Panicale,43.0351363,12.0966315
Colle Calzolaro,hamlet,82.0,Panicale,43.0120369,12.1352118
Colle San Paolo,village,,Panicale,43.009131,12.1713595
Costa di Casa,isolated_dwelling,,Panicale,43.0706868,12.1844565
Fontanelle,locality,,Panicale,43.0393381,12.1534082
Gioveto,hamlet,12.0,Panicale,43.0316251,12.08707
Lemura,hamlet,14.0,Panicale,43.0354395,12.104483
Macereto Basso,hamlet,51.0,Panicale,42.9935276,12.1356949
Migliaiolo,hamlet,17.0,Panicale,43.0199031,12.1102807
Mirabella,hamlet,51.0,Panicale,43.0765691,12.1155872
Missiano,hamlet,107.0,Panicale,43.0049476,12.1008217
Mongiovino Vecchio,hamlet,1.0,Panicale,43.0213249,12.1432081
Montali,locality,,Panicale,43.0511033,12.1745937
Muserale,isolated_dwelling,,Panicale,43.0336586,12.1551597
Olmini,hamlet,30.0,Panicale,43.0415524,12.090543
Palazzetta,locality,,Panicale,43.0561581,12.1785565
Palazzi,hamlet,23.0,Panicale,43.0148329,12.1654315
Panicale,village,477.0,Panicale,43.0290588,12.0983637
Pod.e Pianello,locality,,Panicale,43.0606455,12.1883215
Pod.e S. Marco,locality,,Panicale,43.0448446,12.1778056
Potassa,hamlet,14.0,Panicale,42.993783,12.1170264
San Pietro,neighbourhood,234.0,Panicale,43.0088207,12.172182
Scornabecco,locality,,Panicale,43.0337331,12.1473116
Tavernelle,village,2931.0,Panicale,43.003316,12.146279
Terrazzella,hamlet,11.0,Panicale,43.024531,12.1715771
Via delle Parti,hamlet,52.0,Panicale,43.0751983,12.0998226
Via Larga,neighbourhood,34.0,Panicale,43.008553,12.1691994
Villa Monte Solare,locality,,Panicale,43.0337567,12.1569568
Cantone,hamlet,35.0,Parrano,42.8416939,12.1267204
Parrano,village,268.0,Parrano,42.8640128,12.1067372
Pievelunga,hamlet,14.0,Parrano,42.8498461,12.143389
Casale Vaglie,isolated_dwelling,,Passignano sul Trasimeno,43.2281684,12.1311975
Castel Rigone,village,440.0,Passignano sul Trasimeno,43.1987748,12.2237811
Cerqueto,hamlet,47.0,Passignano sul Trasimeno,43.1888067,12.1540012
Locugnano,locality,,Passignano sul Trasimeno,43.1945158,12.2310662
