# Dataset: Stradario regione Umbria Sept 2025;;;
# Source: https://www.anncsu.gov.it/it/consultazione-dellarchivio/open-data/Accedi-ai-servizi-di-dowload-massivo-in-Open-data/;;;
name;ID;locality;municipality
VIA LUIGI EINAUDI;412876;;Acquasparta
VIA PADRE ADRIANO;412840;;Acquasparta
VIA PADRE CHERUBINO;412841;;Acquasparta
VIA PAOLO BORSELLINO;412842;;Acquasparta
VIA PIE' CASTELLO;412810;;Acquasparta
VIA PIETRO NENNI;412811;;Acquasparta
VIA QUATTRO NOVEMBRE;412806;;Acquasparta
VIA SALVATORE ALLENDE;412815;;Acquasparta
VIA SAN FRANCESCO;412816;;Acquasparta
VIA SAN GIUSEPPE;412817;;Acquasparta
VIA SANDRO PERTINI;412847;;Acquasparta
VIA SANTA CATERINA PORTARIA;412818;;Acquasparta
VIA STELLUTI;412820;;Acquasparta
VIA TIBERINA;412821;;Acquasparta
VIA TUDERTE AMERINA;412879;;Acquasparta
VIA UGO LA MALFA;412822;;Acquasparta
VIA UMBERTO PRIMO PORTARIA;412823;;Acquasparta
VIA VITTORIO BACHELET;412848;;Acquasparta
VIALE CESARE BATTISTI;412756;;Acquasparta
VIALE DANTE ALIGHIERI;412766;;Acquasparta
VIALE ROMA;412813;;Acquasparta
VICO CIECO;412758;;Acquasparta
VICO DEL VITELLO;412777;;Acquasparta
VICO DELLA CHIESA ROSARO;412779;;Acquasparta
VICO DELLA TORRE;412784;;Acquasparta
VICO DELLE FORNACI;412785;;Acquasparta
VICO DELLE MURA ROSARO;412786;;Acquasparta
VICO DELL'OFFERTA;412789;;Acquasparta
VOCABOLO AMERINO;412830;;Acquasparta
VOCABOLO BENEDETTI;412865;;Acquasparta
VOCABOLO BRUCIAFERRO;412831;;Acquasparta
VOCABOLO CASALETTO;412889;;Acquasparta
VOCABOLO CASE VECCHIE;412878;;Acquasparta
VOCABOLO CERVARA;412883;;Acquasparta
VOCABOLO CISTERNA FIRENZUOLA;412759;;Acquasparta
VOCABOLO COLLE;412760;;Acquasparta
VOCABOLO COLLINETTA;412877;;Acquasparta
VOCABOLO FEDERICO BIANCO;412864;;Acquasparta
VOCABOLO SANT'ANGELO;412861;;Acquasparta
VOCABOLO VALLE FOSCA;412871;;Acquasparta
AUTOSTRADA A1 DEL SOLE;1061335;;Allerona
LARGO G. MATTEOTTI;1061352;;Allerona
LARGO M. BUONARROTI;1061366;ALLERONA STAZIONE;Allerona
LOCALITA' POGGIACCIO;1061382;;Allerona
LOCALITA' S. PIETRO;1061449;;Allerona
PIAZZA A. LUPI;1061314;;Allerona
PIAZZA F.LLI BANDIERA;1061350;ALLERONA STAZIONE;Allerona
PIAZZA S. MARIA;1061391;;Allerona
PIAZZA TRASIMENO;1061397;;Allerona
STRADA COMUNALE DEL REDICCIOLO;1061334;;Allerona
STRADA DELLA SELVA;1061341;;Allerona
STRADA PROVINCIALE 102 VAL DI PAGLIA;1061404;;Allerona
STRADA PROVINCIALE 49;1061405;;Allerona
STRADA PROVINCIALE 50;1061406;;Allerona
STRADA PROVINCIALE 51;1061407;;Allerona
VIA A. GRAMSCI;1061312;;Allerona
VIA ADIGE;1061308;;Allerona
VIA ALDO MORO;1061309;;Allerona
VIA ARNO;1061313;;Allerona
VIA C. A. DALLA CHIESA;1061321;;Allerona
VIA C. TERRANOVA;1061328;;Allerona
VIA CENTRALE;1061326;;Allerona
VIA D.  ALIGHIERI;1061330;ALLERONA STAZIONE;Allerona
VIA DEGLI ORTI;1061331;;Allerona
VIA DEL POGGETTO;1061332;;Allerona
VIA DEL POGGIO;1061333;;Allerona
VIA DELLA BUCA;1061336;;Allerona
VIA DELLA LIBERTA`;1061337;;Allerona
VIA DELLA MADONNINA;1061338;;Allerona
VIA DELLA PACE;1061339;;Allerona
VIA DELLA RIPA;1061340;;Allerona
VIA DELLA STAZIONE;1061342;;Allerona
VIA DELLE COSTE;1061343;;Allerona
VIA DELLE FONTI;1061344;;Allerona
VIA DELLO SCALO MERCI;1061345;ALLERONA STAZIONE;Allerona
VIA DI ORVIETO;1061372;;Allerona
VIA DI RIPUGLIE;1061425;;Allerona
VIA DI RIVARCALE;1061426;;Allerona
VIA G. GARIBALDI;1061355;ALLERONA STAZIONE;Allerona
VIA G. LEOPARDI;1061351;;Allerona
VIA G. MARCONI;1061357;;Allerona
VIA G. MAZZINI;1061356;;Allerona
VIA G. PASCOLI;1061354;;Allerona
VIA GUIDO ROSSA;1061358;;Allerona
VIA I MAGGIO;1061359;;Allerona
VIA L. GRASSI;1061362;;Allerona
VIA MADONNA DELL` ACQUA;1061364;;Allerona
VIA MADRE TERESA DI CALCUTTA;1061434;;Allerona
VIA MARTIN LUTHER KING;1061435;;Allerona
VIA NUOVA;1061371;;Allerona
VIA P. LA TORRE;1061380;;Allerona
VIA P. S. MATTARELLA;1061379;;Allerona
VIA PIAVE;1061378;ALLERONA STAZIONE;Allerona
VIA PO;1061381;;Allerona
VIA ROMA;1061390;;Allerona
VIA S. ABBONDIO;1061392;;Allerona
VIA TEVERE;1061396;;Allerona
VIA U. FOSCOLO;1061399;ALLERONA STAZIONE;Allerona
VIA VIII MARZO;1061401;;Allerona
VIA XXV APRILE;1061403;;Allerona
VIALE G. CARDUCCI;1061353;ALLERONA STAZIONE;Allerona
VOCABOLO BUSCHEIE;1061506;;Allerona
VOCABOLO GARAGE;1061505;;Allerona
VOCABOLO VOC. ACQUAVIVA;1061306;;Allerona
VOCABOLO VOC. ACQUAVIVA NUOVA;1061307;;Allerona
VOCABOLO VOC. ACQUAVIVA S. PIETRO;1061486;;Allerona
VOCABOLO VOC. AIARELLA;1061470;;Allerona
VOCABOLO VOC. ALVENELLA;1061462;;Allerona
VOCABOLO VOC. ANNUNZIATA;1061310;;Allerona
VOCABOLO VOC. ARMATA;1061410;;Allerona
VOCABOLO VOC. BARDANELLA;1061411;;Allerona
VOCABOLO VOC. BELVEDERE;1061316;;Allerona
VOCABOLO VOC. BUSSETO;1061483;;Allerona
VOCABOLO VOC. BUZZAGHETTO;1061317;;Allerona
VOCABOLO VOC. CAMPANO;1061318;;Allerona
VOCABOLO VOC. CAMPITELLI;1061319;;Allerona
VOCABOLO VOC. CAMPORICCO;1061412;;Allerona
VOCABOLO VOC. CANNICELLA;1061495;;Allerona
VOCABOLO VOC. CAPANNA;1061320;;Allerona
VOCABOLO VOC. CAS. FERR. KM. 134;1061413;;Allerona
VOCABOLO VOC. CAS. FERR. KM. 136;1061414;;Allerona
VOCABOLO VOC. CAS. FERR. KM. 137;1061415;;Allerona
VOCABOLO VOC. CAS. FERR. KM. 138;1061416;;Allerona
VOCABOLO VOC. CASA CALANDRINI;1061417;;Allerona
VOCABOLO VOC. CASA GIARDINIERE;1061418;;Allerona
VOCABOLO VOC. CASA GUARDIANO;1061322;;Allerona
VOCABOLO VOC. CASABASSA;1061419;;Allerona
VOCABOLO VOC. CASABRUCIATA;1061466;;Allerona
VOCABOLO VOC. CASACCIA;1061469;;Allerona
VOCABOLO VOC. CASACCIA MANCINI;1061464;;Allerona
VOCABOLO VOC. CASALTA;1061484;;Allerona
VOCABOLO VOC. CASALUNGA;1061473;;Allerona
VOCABOLO VOC. CASANERA;1061475;;Allerona
VOCABOLO VOC. CASANOVA S. PIETRO;1061488;;Allerona
VOCABOLO VOC. CASANUOVA;1061472;;Allerona
VOCABOLO VOC. CASATONDA;1061408;;Allerona
VOCABOLO VOC. CASELLA BANDITELLA;1061420;;Allerona
VOCABOLO VOC. CASELLA CARLETTI;1061323;;Allerona
VOCABOLO VOC. CASELLA OSPEDALE;1061421;;Allerona
VOCABOLO VOC. CASELLA PIEVANIA;1061422;;Allerona
VOCABOLO VOC. CASELLA SARACINELLI;1061324;;Allerona
VOCABOLO VOC. CASELLA TIBERI;1061423;;Allerona
VOCABOLO VOC. CASELLO FERR. KM. 135;1061424;;Allerona
